source;kode_mk;clo_id;skill_text;skill_type;original_clo
TELU;BBK3AAB3;CLO3;arsitektur enterprise;HSkill;BBK3AAB3: Mampu merancang arsitektur enterprise berdasarkan framework dan bahasa pemodelan yang terstandardisasi pada suatu studi kasus serta mampu me
TELU;BBK3GAB3;CLO2;past tense,;HSkill;BBK3GAB3: CLO-2 mampu menyatakan sudut pandang dengan bukti yang mendukung dan menarik terkait kreasi ciptaan teknologi mereka dalam 3-5 paragraf meng
TELU;BBK3GAB3;CLO3;sistem informasi;HSkill;BBK3GAB3: CLO-3 mampu mengungkapkan secara lisan kalimat sederhana, majemuk, dan kompleks dalam present tense, present continuous tense, dan present p
TELU;BBK3GAB3;CLO4;past;HSkill;BBK3GAB3: CLO-4 mampu mengungkapkan secara lisan kalimat sederhana, majemuk, dan kompleks dalam present tense, past tense, present perfect, dan past p
TELU;BBK1FAB3;CLO3;ide bisnis;HSkill;BBK1FAB3: Mampu mengkomunikasikan ide bisnis kepada stakeholder
TELU;BBK2BAB2;CLO1;Teknologi Informasi.;HSkill;BBK2BAB2: Mampu memahami etika yang harus dipenuhi dalam bidang Teknologi Informasi serta memahami etika sebagai profesional dalam bidang Teknologi In
TELU;BBK2BAB2;CLO2;teknologi informasi;HSkill;BBK2BAB2: Mampu memahami kode etik terkait dengan penggunaan teknologi informasi dan data, memahami etika yang harus dipenuhi dalam bidang Teknologi I
TELU;BBK2BAB2;CLO2;Teknologi Informasi;HSkill;BBK2BAB2: Mampu memahami kode etik terkait dengan penggunaan teknologi informasi dan data, memahami etika yang harus dipenuhi dalam bidang Teknologi I
TELU;BBK2BAB2;CLO2;Teknologi Informasi,;HSkill;BBK2BAB2: Mampu memahami kode etik terkait dengan penggunaan teknologi informasi dan data, memahami etika yang harus dipenuhi dalam bidang Teknologi I
TELU;BBK2BAB2;CLO2;teknologi digital;HSkill;BBK2BAB2: Mampu memahami kode etik terkait dengan penggunaan teknologi informasi dan data, memahami etika yang harus dipenuhi dalam bidang Teknologi I
TELU;BBK3NBB3;CLO3;sistem informasi;HSkill;BBK3NBB3: Mampu menyusun perencanaan dalam konteks sistem informasi menggunakan ilmu dan praktek yang relevan dan terpenuhi.
TELU;BBK3NBB3;CLO2;perangkat lunak;HSkill;BBK3NBB3: Mampu menggunakan teknik, metode, perangkat lunak terkini untuk menghasilkan solusi di bidang pengelolaan fungsi dan bisnis organisasi dalam
TELU;BBK2HAB3;CLO1;integrasi aplikasi enterprise;HSkill;BBK2HAB3: Mampu mengidentifikasi kebutuhan integrasi aplikasi enterprise serta menggunakan teknologi terbaru berkaitan dengan integrasi aplikasi enter
TELU;BBK2HAB3;CLO1;integrasi aplikasi enterprise;HSkill;BBK2HAB3: Mampu mengidentifikasi kebutuhan integrasi aplikasi enterprise serta menggunakan teknologi terbaru berkaitan dengan integrasi aplikasi enter
TELU;BBK2HAB3;CLO1;sistem informasi;HSkill;BBK2HAB3: Mampu mengidentifikasi kebutuhan integrasi aplikasi enterprise serta menggunakan teknologi terbaru berkaitan dengan integrasi aplikasi enter
